Module_Id,Module_Name,TotalPrice,CabinetPrice,TotalInternalPrice,HardwarePrice,Internal_ID1,Internal_Name1,Internal Price1
13872,HW4S-DC,86369.12999999999,45869.77,0.0,40499.35999999999,,,
13872,HW4S-DC,86369.12999999999,45869.77,0.0,40499.35999999999,,,
13872,HW4S-DC,86369.12999999999,45869.77,0.0,40499.35999999999,,,
13872,HW4S-DC,86369.12999999999,45869.77,0.0,40499.35999999999,,,
13872,HW4S-DC,86369.12999999999,45869.77,0.0,40499.35999999999,,,
13754,HW-3S-Right-S-DC,51675.67,27993.61,0.0,23682.059999999998,,,
13829,Skirting-inline-DC,69338.28,39468.64,0.0,29869.639999999992,,,
13829,Skirting-inline-DC,67316.78,37447.14,0.0,29869.639999999992,,,
13872,HW4S-DC,140539.91000000003,43518.39,27189.000000000004,69832.52000000002,17450,HW4ID3FS-Right-4S-350QD-300H(200H)-DC,27189.000000000004
13829,Skirting-inline-DC,67316.78,37447.14,0.0,29869.639999999992,,,
13829,Skirting-inline-DC,43675.46000000001,24462.960000000003,0.0,19212.5,,,
13829,Skirting-inline-DC,68168.42000000001,35959.240000000005,0.0,32209.18,,,
13829,Skirting-inline-DC,80375.25,43880.310000000005,0.0,36494.94,,,
13829,Skirting-inline-DC,67755.59,37885.95,0.0,29869.639999999992,,,
13829,Skirting-inline-DC,67316.78,37447.14,0.0,29869.639999999992,,,
13829,Skirting-inline-DC,68521.62999999999,38651.99,0.0,29869.639999999992,,,
13754,HW-3S-Right-S-DC,66588.81999999999,36719.18,0.0,29869.639999999992,,,
13872,HW4S-DC,80045.29000000001,43550.350000000006,0.0,36494.94,,,
13872,HW4S-DC,80045.29000000001,43550.350000000006,0.0,36494.94,,,
13872,HW4S-DC,80045.29000000001,43550.350000000006,0.0,36494.94,,,
13754,HW-3S-Right-S-DC,66588.81999999999,36719.18,0.0,29869.639999999992,,,
13754,HW-3S-Right-S-DC,66588.81999999999,36719.18,0.0,29869.639999999992,,,
13872,HW4S-DC,73479.34999999998,37571.869999999995,0.0,35907.47999999999,,,
13872,HW4S-DC,73479.34999999998,37571.869999999995,0.0,35907.47999999999,,,
13872,HW4S-DC,102845.78999999998,45963.92,7636.429999999999,49245.43999999999,17471,HW1ID1FS1HR- Right-4S-QD-DC,7636.429999999999
13872,HW4S-DC,78470.45000000001,41975.51,0.0,36494.94,,,
13829,Skirting-inline-DC,80842.07,44347.130000000005,0.0,36494.94,,,
13829,Skirting-inline-DC,38230.25,21160.629999999997,0.0,17069.62,,,
13829,Skirting-inline-DC,67935.01000000001,35725.83,0.0,32209.18,,,
13829,Skirting-inline-DC,96973.41,38302.850000000006,14522.85,44147.71000000001,18439,HW2ID2FS1RS1HR-Right-4S-450-DC,14522.85
13829,Skirting-inline-DC,43647.45,24434.95,0.0,19212.5,,,
13829,Skirting-inline-DC,61967.67,35071.29,0.0,26896.38,,,
13829,Skirting-inline-DC,67316.78,37447.14,0.0,29869.639999999992,,,
13829,Skirting-inline-DC,67316.78,37447.14,0.0,29869.639999999992,,,
13829,Skirting-inline-DC,93262.86000000002,36426.060000000005,13488.09,43348.71000000001,18451,HW2ID1FS1RS1HR-Right-4S-450-DC,13488.09
