Module_Id,Module_Name,TotalPrice,CabinetPrice,TotalInternalPrice,HardwarePrice,Internal_ID1,Internal_Name1,Internal Price1,Internal_ID2,Internal_Name2,Internal Price2
14264,ISL2D-DC,36021.76,22886.600000000002,0.0,13135.160000000002,,,,,,
14264,ISL2D-DC,49361.89,19817.71,5147.459999999999,24396.719999999998,18330,2DINSW-R-1ID1FS1RS1HR-300D-DC,2573.7299999999996,18329,2DINSW-L-1ID1FS1RS1HR-300D-DC,2573.7299999999996
14264,ISL2D-DC,63511.9,23899.08,7081.96,32530.86,18335,2DINSW-L-2ID2FS1HR-300D-DC,3540.98,18336,2DINSW-R-2ID2FS1HR-300D-DC,3540.98
14264,ISL2D-DC,67399.38,25891.260000000002,8493.900000000003,33014.22,18326,2DINSW-R-2ID2FS1HR-400D-DC,4246.950000000002,18325,2DINSW-L-2ID2FS1HR-400D-DC,4246.950000000002
14264,ISL2D-DC,52266.92,21650.92,5977.599999999999,24638.399999999998,18324,2DINSW-R-1ID1FS1RS1HR-400D-DC,2988.7999999999997,18323,2DINSW-L-1ID1FS1RS1HR-400D-DC,2988.7999999999997
14264,ISL2D-DC,41963.97,28828.809999999998,0.0,13135.160000000002,,,,,,
14264,ISL2D-DC,37725.01,24589.850000000002,0.0,13135.160000000002,,,,,,
14264,ISL2D-DC,71763.20999999999,29541.289999999997,9797.740000000002,32424.18,18341,2DINSW-L-2ID2FS1HV1HR-300D-DC,4898.870000000001,18342,2DINSW-R-2ID2FS1HV1HR-300D-DC,4898.870000000001
14264,ISL2D-DC,64907.39,25247.85,9053.36,30606.18,18357,2DINSW-L-2ID2FS1RS1HR-300D-DC,4526.68,18358,2DINSW-R-2ID2FS1RS1HR-300D-DC,4526.68
14264,ISL2D-DC,74185.72,30728.739999999998,10791.119999999997,32665.86,18343,2DINSW-L-2ID2FS1HV1HR-350D-DC,5395.559999999999,18344,2DINSW-R-2ID2FS1HV1HR-350D-DC,5395.559999999999
14264,ISL2D-DC,52392.619999999995,21960.239999999998,5914.82,24517.56,18332,2DINSW-R-1ID1FS1RS1HR-350D-DC,2957.41,18331,2DINSW-L-1ID1FS1RS1HR-350D-DC,2957.41
14264,ISL2D-DC,49612.0,19251.26,8157.76,22202.980000000003,18372,2DINSW-R-4FS1FV2RS1HR-DC,4078.88,18371,2DINSW-L-4FS1FV2RS1HR-DC,4078.88
14264,ISL2D-DC,65121.15,22843.719999999998,10388.890000000003,31888.54,18362,2DINSW-R-2ID2FS1RS1HR-400D-DC,5011.8600000000015,18383,2DINSW-L-2ID2FS1HV2RS1HHR-400D-DC,5377.030000000001
14264,ISL2D-DC,65121.15,22843.719999999998,10388.890000000003,31888.54,18361,2DINSW-L-2ID2FS1RS1HR-400D-DC,5011.8600000000015,18384,2DINSW-R-2ID2FS1HV2RS1HHR-400D-DC,5377.030000000001
14264,ISL2D-DC,58291.42,30028.579999999994,8616.1,19646.740000000005,18375,2DINSW-L-2FS1HV2RS1HR-DC,4308.05,18376,2DINSW-R-2FS1HV2RS1HR-DC,4308.05
14264,ISL2D-DC,40188.08,19251.26,3548.08,17388.74,18373,2DINSW-L-2FS1RS1HR-DC,1774.04,18374,2DINSW-R-2FS1RS1HR-DC,1774.04
14264,ISL2D-DC,42389.86,29254.699999999997,0.0,13135.160000000002,,,,,,
14264,ISL2D-DC,32371.1,19235.939999999995,0.0,13135.160000000002,,,,,,
14264,ISL2D-DC,74381.35,29254.699999999997,11420.11,33706.54,18369,2DINSW-L-2ID3FS1HV1HR-400D-DC,6150.05,18346,2DINSW-R-2ID2FS1HV1HR-400D-DC,5270.06
14264,ISL2D-DC,76495.13999999998,29254.699999999997,12734.899999999998,34505.54,18391,2DINSW-L-2ID2FS2HV2RS1HHR-400D-DC,6367.449999999999,18392,2DINSW-R-2ID2FS2HV2RS1HHR-400D-DC,6367.449999999999
14264,ISL2D-DC,74381.35,29254.699999999997,11420.11,33706.54,18370,2DINSW-R-2ID3FS1HV1HR-400D-DC,6150.05,18345,2DINSW-L-2ID2FS1HV1HR-400D-DC,5270.06
