Module_Id,Module_Name,TotalPrice,CabinetPrice,TotalInternalPrice,HardwarePrice,Internal_ID1,Internal_Name1,Internal Price1,Internal_ID2,Internal_Name2,Internal Price2
12739,HW-1S-S,43895.02,38080.8,3461.34,2352.88,10335,HW2FS1HR-1S,3461.34,,,
13013,Skirting-inline-S,1421.8400000000001,711.84,0.0,710.0,,,,,,
10209,OLSW-2DR-LSE,200064.12,126275.47,34938.560000000005,38850.09,10892,2DOLSW-L-1ID2FS3RS1HR1FV,17469.280000000002,10893,2DOLSW-R-1ID2FS3RS1HR1FV,17469.280000000002
12745,HW-2S-S,102504.56999999999,74408.56999999999,23640.589999999997,4455.41,10371,HW5FS2RS1HR1V-2S,23640.589999999997,,,
13013,Skirting-inline-S,2118.52,1408.52,0.0,710.0,,,,,,
12897,ST1DR1S-25 - Left-S,52756.17,49449.39,0.0,3306.7800000000007,,,,,,
13013,Skirting-inline-S,1357.35,647.35,0.0,710.0,,,,,,
12739,HW-1S-S,43895.02,38080.8,3461.34,2352.88,10335,HW2FS1HR-1S,3461.34,,,
13013,Skirting-inline-S,1421.8400000000001,711.84,0.0,710.0,,,,,,
12745,HW-2S-S,110587.20999999999,74408.56999999999,23640.589999999997,12538.05,10371,HW5FS2RS1HR1V-2S,23640.589999999997,,,
13013,Skirting-inline-S,2118.52,1408.52,0.0,710.0,,,,,,
