s.no,moduleId,moduleName,errorMessage
5,13057,B2DR-DC,"Error in zone : 5_5_13057_B2DR-DC for module [Base Cabinet 2 Drawer,13057] : Insufficient accessories. Minimum required: 2 got 0"
10,13062,B2S1DR-DC,"Error in zone : 10_10_13062_B2S1DR-DC for module [Base Cabinet 2 Shutter 1 Drawer,13062] : Insufficient accessories. Minimum required: 2 got 1"
65,13137,OB-WB-1BD-DC,"Couldn't find shutter Name[Drawer Facia Bottom] and Type[DF]"
58,13122,T1DR1SBOBM-DC,"Error in zone : 7_58_13122_T1DR1SBOBM-DC for module [Tall Cabinet Shutter- Built In Oven And Built In Microwave,13122] : Insufficient accessories. Minimum required: 2 got 1"
61,13128,Gola-T1BS1TSO-DC,"Couldn't find shutter Name[Gola Plain Shutter Top] and Type[POPS]"
62,13129,Gola-T1DR1SBOBM-DC,"Couldn't find shutter Name[Gola Plain Shutter] and Type[POPS]"
69,13141,Gola-OB-WB-1TD-DC,"Couldn't find shutter Name[Gola Drawer Facia Top] and Type[GDF]"
62,13129,Gola-T1DR1SBOBM-DC,"Error in zone : 5_62_13129_Gola-T1DR1SBOBM-DC for module [Gola Tall Cabinet Shutter- Built In Oven And Built In Microwave,13129] : Insufficient accessories. Minimum required: 2 got 1"
24,13078,WDL-DC,"Error in zone : 4_24_13078_WDL-DC for module [Wall Cabinet 2 Shutter Dual Lift Up,13078] : Insufficient accessories. Minimum required: 1 got 0"
39,13097,Gola-B2S1DR-DC,"Couldn't find shutter Name[Gola Plain Shutter Right] and Type[GPS]"
38,13096,Gola-B1S1DR-DC,"Error in zone : 4_38_13096_Gola-B1S1DR-DC for module [Gola Base Cabinet 1 Shutter 1 Drawer,13096] : Insufficient accessories. Minimum required: 2 got 1"
39,13097,Gola-B2S1DR-DC,"Error in zone : 5_39_13097_Gola-B2S1DR-DC for module [Gola Base Cabinet 2 Shutter 1 Drawer,13097] : Insufficient accessories. Minimum required: 2 got 1"
50,13109,Gola-WDL-DC,"Error in zone : 9_50_13109_Gola-WDL-DC for module [Gola Wall Cabinet 2 Shutter Dual Lift Up,13109] : Insufficient accessories. Minimum required: 1 got 0"
32,13090,Gola-B1SPO-DC,"Couldn't find shutter Name[Gola Pullout Plain Shutter] and Type[GPPS]"
28,13085,Gola-B2DR-DC,"Error in zone : 4_28_13085_Gola-B2DR-DC for module [Gola Base Cabinet 2 Drawer,13085] : Insufficient accessories. Minimum required: 2 got 0"
32,13090,Gola-B1SPO-DC,"Error in zone : 8_32_13090_Gola-B1SPO-DC for module [Gola Base Cabinet Bottle Pull Out,13090] : Insufficient accessories. Minimum required: 1 got 0"
112,13225,KTU-EP-DC,"Selected Shutter dimensions are not applicable with the choosen Design or Subdesign, Applicable range: WIDTH [30-2400], HEIGHT [30-2400], Check End Panel"
119,13245,T2BDR1TSTWO-DC,"Couldn't find shutter Name[1st Drawer Facia] and Type[DF]"
120,13246,T2TDR1TSBWO-DC,"Couldn't find shutter Name[1st Drawer Facia] and Type[DF]"
117,13243,T1BDR1TSTWO-DC,"Error in zone : 2_117_13243_T1BDR1TSTWO-DC for module [Tall Unit 1 bottom drawer 1 shutter with top wicker basket- Provision for Built-in Oven,13243] : Insufficient accessories. Minimum required: 3 got 2"
118,13244,T1TDR1TSBWO-DC,"Error in zone : 3_118_13244_T1TDR1TSBWO-DC for module [Tall Unit 1 top drawer 1 shutter with bottom wicker basket- Provision for Built-in Oven,13244] : Insufficient accessories. Minimum required: 3 got 2"
119,13245,T2BDR1TSTWO-DC,"Error in zone : 4_119_13245_T2BDR1TSTWO-DC for module [Tall Unit 2 bottom drawer 1 shutter with top wicker basket- Provision for Built-in Oven,13245] : Insufficient accessories. Minimum required: 3 got 2"
120,13246,T2TDR1TSBWO-DC,"Error in zone : 5_120_13246_T2TDR1TSBWO-DC for module [Tall Unit 2 top drawer 1 shutter with bottom wicker basket- Provision for Built-in Oven,13246] : Insufficient accessories. Minimum required: 4 got 2"
100,13209,BBCG1S-Right-150-DC,"Couldn't find shutter Name[Plain Shutter Right] and Type[PS]"
138,13304,WDL-430D-DC,"Error in zone : 8_138_13304_WDL-430D-DC for module [Wall Cabinet 2 Shutter Dual Lift Up-430D,13304] : Insufficient accessories. Minimum required: 1 got 0"
155,13328,BBCG1S-Right-150-450W-S-DC,"Couldn't find shutter Name[Plain Shutter Right] and Type[PS]"
141,13310,Gola-WDL-430D-DC,"Error in zone : 8_141_13310_Gola-WDL-430D-DC for module [Gola Wall Cabinet 2 Shutter Dual Lift Up-430D,13310] : Insufficient accessories. Minimum required: 1 got 0"
99,13195,Gola Glass OB-WB-1TD-DC,"Gola Lacquered Glass Drawer Facia required a glass details"
194,13373,GP-B2DR-DC,"Error in zone : 2_194_13373_GP-B2DR-DC for module [G Profile-Base Cabinet 2 Drawer,13373] : Insufficient accessories. Minimum required: 2 got 0"
213,13395,GP-H1S1DR-DC,"Error in zone : 3_213_13395_GP-H1S1DR-DC for module [G Profile-Hob Cabinet 1 Shutter 1 Drawer,13395] : Insufficient accessories. Minimum required: 2 got 1"
214,13396,GP-B2S1DR-DC,"Error in zone : 4_214_13396_GP-B2S1DR-DC for module [G Profile-Base Cabinet 2 Shutter 1 Drawer,13396] : Insufficient accessories. Minimum required: 2 got 1"
215,13397,GP-H2S1DR-DC,"Error in zone : 5_215_13397_GP-H2S1DR-DC for module [G Profile-Hob Cabinet 2 Shutter 1 Drawer,13397] : Insufficient accessories. Minimum required: 2 got 1"
290,13487,SBBC1SWB- Right-150-450W-S-v1-DC,"Couldn't find shutter Name[Plain Shutter Right] and Type[PS]"
270,13467,SBBC1SWB- Right-150-v1-DC,"Couldn't find shutter Name[Plain Shutter Right] and Type[PS]"
262,13459,H1S1DR-v1-DC,"Error in zone : 6_262_13459_H1S1DR-v1-DC for module [Hob Cabinet 1 Shutter 1 Drawer-Version 1,13459] : Insufficient accessories. Minimum required: 2 got 1"
263,13460,H2S1DR-v1-DC,"Error in zone : 7_263_13460_H2S1DR-v1-DC for module [Hob Cabinet 2 Shutter 1 Drawer-Version 1,13460] : Insufficient accessories. Minimum required: 2 got 1"
244,13431,GP-WDL-DC,"Error in zone : 4_244_13431_GP-WDL-DC for module [G Profile-Wall Cabinet 2 Shutter Dual Lift Up,13431] : Insufficient accessories. Minimum required: 1 got 0"
246,13433,GP-WDL-430D-DC,"Error in zone : 6_246_13433_GP-WDL-430D-DC for module [G Profile-Wall Cabinet 2 Shutter Dual Lift Up-430D,13433] : Insufficient accessories. Minimum required: 1 got 0"
269,13466,Gola-H2S1DR-v1-DC,"Couldn't find shutter Name[Gola Plain Shutter Right] and Type[GPS]"
268,13465,Gola-H1S1DR-v1-DC,"Error in zone : 5_268_13465_Gola-H1S1DR-v1-DC for module [Gola Hob Cabinet 1 Shutter 1 Drawer-Version 1,13465] : Insufficient accessories. Minimum required: 2 got 1"
269,13466,Gola-H2S1DR-v1-DC,"Error in zone : 6_269_13466_Gola-H2S1DR-v1-DC for module [Gola Hob cabinet 2 Shutter 1 Drawer-Version 1,13466] : Insufficient accessories. Minimum required: 2 got 1"
233,13419,GP-T1BDR1TSTWO-DC,"Error in zone : 3_233_13419_GP-T1BDR1TSTWO-DC for module [G Profile-Tall Unit 1 bottom drawer 1 shutter with top wicker basket- Provision for Built-in Oven,13419] : Insufficient accessories. Minimum required: 3 got 2"
234,13420,GP-T1TDR1TSBWO-DC,"Error in zone : 4_234_13420_GP-T1TDR1TSBWO-DC for module [G Profile-Tall Unit 1 top drawer 1 shutter with bottom wicker basket- Provision for Built-in Oven,13420] : Insufficient accessories. Minimum required: 3 got 2"
236,13422,GP-T2BDR1TSTWO-DC,"Error in zone : 6_236_13422_GP-T2BDR1TSTWO-DC for module [G Profile-Tall Unit 2 bottom drawer 1 shutter with top wicker basket- Provision for Built-in Oven,13422] : Insufficient accessories. Minimum required: 3 got 2"
213,13395,GP-H1S1DR-DC,"Error in zone : 3_213_13395_GP-H1S1DR-DC for module [G Profile-Hob Cabinet 1 Shutter 1 Drawer,13395] : Insufficient accessories. Minimum required: 2 got 1"
214,13396,GP-B2S1DR-DC,"Error in zone : 4_214_13396_GP-B2S1DR-DC for module [G Profile-Base Cabinet 2 Shutter 1 Drawer,13396] : Insufficient accessories. Minimum required: 2 got 1"
215,13397,GP-H2S1DR-DC,"Error in zone : 5_215_13397_GP-H2S1DR-DC for module [G Profile-Hob Cabinet 2 Shutter 1 Drawer,13397] : Insufficient accessories. Minimum required: 2 got 1"
400,13621,Gola-OB-WB-1TD-Regular-DC,"Couldn't find shutter Name[Gola Drawer Facia Top] and Type[GDF]"
319,13540,B2DR-NBB-DC,"Couldn't find shutter Name[2nd Semi Modular Drawer Facia] and Type[SMDF]"
320,13541,B3DR-NBB-DC,"Couldn't find shutter Name[1st Semi Modular Drawer Facia] and Type[SMDF]"
324,13545,B1SPO-NBB-SE-DC,"Couldn't find shutter Name[Semi Modular Pullout Plain Shutter] and Type[SMPPS]"
319,13540,B2DR-NBB-DC,"Error in zone : 4_319_13540_B2DR-NBB-DC for module [Semi Modular Base 2 Drawer- No Bottom No Back,13540] : Insufficient accessories. Minimum required: 2 got 0"
320,13541,B3DR-NBB-DC,"Error in zone : 5_320_13541_B3DR-NBB-DC for module [Semi Modular Base 3 Drawer- No Bottom No Back,13541] : Insufficient accessories. Minimum required: 3 got 0"
322,13543,B2S1DR-NBB-DC,"Error in zone : 7_322_13543_B2S1DR-NBB-DC for module [Semi Modular Base 2 Shutter 1 drawer - No Bottom No Back,13543] : Insufficient accessories. Minimum required: 2 got 1"
324,13545,B1SPO-NBB-SE-DC,"Error in zone : 9_324_13545_B1SPO-NBB-SE-DC for module [Semi Modular Base Bottle pull out -No Bottom No Back Shutter Extension,13545] : Insufficient accessories. Minimum required: 1 got 0"
393,13614,BBCG1S-Right-150-Regular-DC,"Couldn't find shutter Name[Plain Shutter Right] and Type[SMPS]"
348,13569,B2S1DR-Regular-DC,"Error in zone : 3_348_13569_B2S1DR-Regular-DC for module [Semi Modular Base 2 Shutter 1 drawer -Regular,13569] : Insufficient accessories. Minimum required: 2 got 1"
328,13549,B1DR1GT-Regular-DC,"Couldn't find shutter Name[1st Drawer Facia] and Type[DF]"
328,13549,B1DR1GT-Regular-DC,"Error in zone : 3_328_13549_B1DR1GT-Regular-DC for module [Semi Modular Base 1 Drawer Grain Pull Out - Regular,13549] : Insufficient accessories. Minimum required: 2 got 0"
333,13554,B2DR-Regular-DC,"Error in zone : 8_333_13554_B2DR-Regular-DC for module [Semi Modular Base 2 Drawer- Regular,13554] : Insufficient accessories. Minimum required: 2 got 0"
370,13591,OB-WB-1BD-Regular-DC,"Couldn't find shutter Name[Drawer Facia Bottom] and Type[DF]"
373,13594,OB-WB-2TD-Regular-DC,"Couldn't find shutter Name[2nd Drawer Facia] and Type[DF]"
371,13592,OB-WB-1TD-Regular-DC,"Couldn't find shutter Name[Drawer Facia Top] and Type[DF]"
385,13606,Gola-B1SPO-Regular-DC,"Couldn't find shutter Name[Gola Pullout Plain Shutter] and Type[GPPS]"
385,13606,Gola-B1SPO-Regular-DC,"Error in zone : 7_385_13606_Gola-B1SPO-Regular-DC for module [Semi Modular Gola Base Bottle pull out-Regular,13606] : Insufficient accessories. Minimum required: 1 got 0"
376,13597,Gola-B2S1DR-Regular-DC,"Couldn't find shutter Name[Gola Plain Shutter Right] and Type[GPS]"
376,13597,Gola-B2S1DR-Regular-DC,"Error in zone : 8_376_13597_Gola-B2S1DR-Regular-DC for module [Semi Modular Gola Base 2 Shutter 1 Drawer-Regular,13597] : Insufficient accessories. Minimum required: 2 got 1"
378,13599,Gola-B2DR-Regular-DC,"Error in zone : 10_378_13599_Gola-B2DR-Regular-DC for module [Semi Modular Gola Base 2 Drawer-Regular,13599] : Insufficient accessories. Minimum required: 2 got 0"
401,13622,B4DR-Regular-DC,"Couldn't find shutter Name[4th Semi Modular Drawer Facia] and Type[SMDF]"
401,13622,B4DR-Regular-DC,"Error in zone : 3_401_13622_B4DR-Regular-DC for module [Semi modular Base Cabinet 4 Drawer-Regular,13622] : Insufficient accessories. Minimum required: 4 got 0"
410,13631,Gola-B2DR-NBB - v1-DC,"Error in zone : 9_410_13631_Gola-B2DR-NBB - v1-DC for module [Semi Modular Gola Base 2 Drawer-No Bottom No Back-Version 1,13631] : Insufficient accessories. Minimum required: 2 got 0"
413,13634,Gola-B1SPO-NBB - v1-DC,"Couldn't find shutter Name[Gola Pullout Plain Shutter] and Type[GPPS]"
415,13636,Gola-B2S1DR-NBB - v1-DC,"Couldn't find shutter Name[Gola Plain Shutter Right] and Type[GPS]"
413,13634,Gola-B1SPO-NBB - v1-DC,"Error in zone : 2_413_13634_Gola-B1SPO-NBB - v1-DC for module [Semi Modular Gola Base Bottle pull Out-No Bottom No Back-Version 1,13634] : Insufficient accessories. Minimum required: 1 got 0"
414,13635,Gola-B1S1DR-NBB - v1-DC,"Error in zone : 3_414_13635_Gola-B1S1DR-NBB - v1-DC for module [Semi Modular Gola Base 1 Shutter 1 drawer-No Bottom No Back-Version 1,13635] : Insufficient accessories. Minimum required: 2 got 1"
415,13636,Gola-B2S1DR-NBB - v1-DC,"Error in zone : 4_415_13636_Gola-B2S1DR-NBB - v1-DC for module [Semi Modular Gola Base 2 Shutter 1 drawer-No Bottom No Back-Version 1,13636] : Insufficient accessories. Minimum required: 2 got 1"
438,13659,GP-B2DR-Regular-DC,"Error in zone : 2_438_13659_GP-B2DR-Regular-DC for module [G Profile-Semi Modular Base 2 Drawer- Regular,13659] : Insufficient accessories. Minimum required: 2 got 0"
451,13672,GP-B2S1DR-Regular-DC,"Error in zone : 5_451_13672_GP-B2S1DR-Regular-DC for module [G Profile-Semi Modular Base 2 Shutter 1 drawer -Regular,13672] : Insufficient accessories. Minimum required: 2 got 1"
478,13699,GP-B2S1DR-NBB-DC,"Error in zone : 2_478_13699_GP-B2S1DR-NBB-DC for module [G Profile-Semi Modular Base 2 Shutter 1 drawer - No Bottom No Back,13699] : Insufficient accessories. Minimum required: 2 got 0"
483,13704,GP-B2DR-NBB-DC,"Error in zone : 7_483_13704_GP-B2DR-NBB-DC for module [G Profile-Semi Modular Base 2 Drawer- No Bottom No Back,13704] : Insufficient accessories. Minimum required: 2 got 0"
573,13814,B1DR-430D-S-DC,"Couldn't find shutter Name[Drawer Facia] and Type[DF]"
554,13795,LF&S-2S-L Corner-100 To 300-DC,"Couldn't find shutter Name[Plain Shutter Right] and Type[PSLC]"
600,13841,B2S1FS1SKTDR-150mm Ht -QD-DC,"Profile not found - /SILVER/GOLA PROFILE L TYPE"
579,13820,B1DR1O-430D-S-DC,"Infill Glass Drawer required a glass details"
510,13731,Gola-B1S1DR-Regular-v1-DC,"Error in zone : 3_510_13731_Gola-B1S1DR-Regular-v1-DC for module [Semi Modular Gola Base 1 Shutter 1 Drawer-Regular-Version 1,13731] : Insufficient accessories. Minimum required: 2 got 1"680,13933,GP-TPG2DR1GDR2S1FS-DC,"3rd Glass Facia required a glass details"
681,13934,GP-TPG2DR1GDR2S3FS- QD-DC,"3rd Glass Facia required a glass details"
