s.no,moduleId,moduleName,errorMessage
21,10036,W1TL,"Selected Depth is 300, Which is outside the allowable limits (Min = 330, Max = 330)"
22,10039,BBCG1S-Left,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
23,10040,BBCG1S-Right,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
40,10107,WLC2S,"Selected Depth is 300, Which is outside the allowable limits (Min = 330, Max = 430)"
24,10042,WDL,"Selected Depth is 300, Which is outside the allowable limits (Min = 330, Max = 330)"
41,10108,WAQ1S,"Selected Depth is 300, Which is outside the allowable limits (Min = 330, Max = 330)"
42,10109,WAQ2S,"Selected Width is 1200, Which is outside the allowable limits (Min = 650, Max = 900)"
21,10036,W1TL,"Error in zone : 1_21_10036_W1TL for module [Wall Cabinet 1 Shutter Top Lift Up,10036] : Insufficient accessories. Minimum required: 1 got 0"
24,10042,WDL,"Error in zone : 4_24_10042_WDL for module [Wall Cabinet 2 Shutter Dual Lift Up,10042] : Insufficient accessories. Minimum required: 1 got 0"
87,10609,W2S-430D,"Selected Width is 1200, Which is outside the allowable limits (Min = 600, Max = 900)"
11,10023,B1SPO,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
17,10029,BLC2S,"Selected Width is 1200, Which is outside the allowable limits (Min = 650, Max = 950)"
18,10031,W2S,"Selected Width is 1200, Which is outside the allowable limits (Min = 600, Max = 900)"
19,10033,OB-WB,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
11,10023,B1SPO,"Error in zone : 1_11_10023_B1SPO for module [Base Cabinet Bottle Pull Out,10023] : Insufficient accessories. Minimum required: 1 got 0"
19,10033,OB-WB,"Error in zone : 9_19_10033_OB-WB for module [Open Base Wicker Basket,10033] : Insufficient accessories. Minimum required: 1 got 0"
89,10623,WAQ2S-430D,"Selected Width is 1200, Which is outside the allowable limits (Min = 600, Max = 900)"
37,10068,Gola-BLC2S,"Selected Width is 1200, Which is outside the allowable limits (Min = 600, Max = 950)"
48,10125,Gola-W2S,"Selected Width is 1200, Which is outside the allowable limits (Min = 600, Max = 900)"
49,10126,Gola-W1TL,"Selected Depth is 300, Which is outside the allowable limits (Min = 330, Max = 330)"
50,10129,Gola-WDL,"Selected Depth is 300, Which is outside the allowable limits (Min = 330, Max = 330)"
51,10135,Gola-WAQ1S,"Selected Depth is 300, Which is outside the allowable limits (Min = 330, Max = 330)"
49,10126,Gola-W1TL,"Error in zone : 8_49_10126_Gola-W1TL for module [Gola Wall Cabinet 1 Shutter Top Lift Up,10126] : Insufficient accessories. Minimum required: 1 got 0"
50,10129,Gola-WDL,"Error in zone : 9_50_10129_Gola-WDL for module [Gola Wall Cabinet 2 Shutter Dual Lift Up,10129] : Insufficient accessories. Minimum required: 1 got 0"
