s.no,moduleId,moduleName,errorMessage
159,11704,WBC-Left-PO-430D,"Please refresh to fetch price from server."
160,11705,WBC-Left-PO-300W-S-430D,"Please refresh to fetch price from server."
161,11706,WBC-Right-PO-430D,"Please refresh to fetch price from server."
162,11707,WBC-Right-PO-300W-S-430D,"Please refresh to fetch price from server."
133,11270,W1TL PO,"Selected Depth is 300, Which is outside the allowable limits (Min = 330, Max = 330)"
136,11528,W1TL-430,"Selected Depth is 300, Which is outside the allowable limits (Min = 335, Max = 430)"
137,11529,W1TL PO-430D,"Selected Depth is 300, Which is outside the allowable limits (Min = 335, Max = 430)"
133,11270,W1TL PO,"Error in zone : 4_133_11270_W1TL PO for module [Wall Cabinet 1 Shutter Top Lift Up Push To Open,11270] : Insufficient accessories. Minimum required: 1 got 0"
136,11528,W1TL-430,"Error in zone : 7_136_11528_W1TL-430 for module [Wall Cabinet 1 Shutter Top Lift Up-430D,11528] : Insufficient accessories. Minimum required: 1 got 0"
137,11529,W1TL PO-430D,"Error in zone : 8_137_11529_W1TL PO-430D for module [Wall Cabinet 1 Shutter Top Lift Up Push To Open-430D,11529] : Insufficient accessories. Minimum required: 1 got 0"
129,11260,KBSF-Non Gola-Right,"Please refresh to fetch price from server."
130,11261,OSH-Five-Pin-18mm,"Please refresh to fetch price from server."
131,11262,OSH-Six-Pin-18mm,"Please refresh to fetch price from server."
134,11278,BEP-Bottom End Panel,"Please refresh to fetch price from server."
135,11448,BBOHM,"Please refresh to fetch price from server."
138,11532,WDL-430D,"Please refresh to fetch price from server."
142,11617,SMBP-K,"Please refresh to fetch price from server."
101,10916,BBCG1S-Left-150,"Please refresh to fetch price from server."
102,10918,G1S-150,"Please refresh to fetch price from server."
103,10919,G2S-150,"Please refresh to fetch price from server."
108,10979,Granite Ply,"Please refresh to fetch price from server."
110,11055,KIT-WEP,"Please refresh to fetch price from server."
111,11058,GBSF,"Please refresh to fetch price from server."
112,11060,KTU-EP,"Please refresh to fetch price from server."
114,11129,T1S1FS,"Please refresh to fetch price from server."
143,11620,WBC-Left -300W-S,"Please refresh to fetch price from server."
144,11621,WBC-Right-300W-S,"Please refresh to fetch price from server."
149,11629,BBC1S-Right-450W-S,"Please refresh to fetch price from server."
152,11632,BBC1S-Left-450W-S,"Please refresh to fetch price from server."
153,11636,BBCG1S-Left-450W-S,"Please refresh to fetch price from server."
154,11638,BBCG1S-Right-450W-S,"Please refresh to fetch price from server."
155,11639,BBCG1S-Right-150-450W-S,"Please refresh to fetch price from server."
156,11641,BBCG1S-Left-150-450W-S,"Please refresh to fetch price from server."
132,11269,Non-Gola-W1TL PO,"Selected Depth is 300, Which is outside the allowable limits (Min = 330, Max = 330)"
139,11535,Gola-W1TL-430D,"Selected Depth is 300, Which is outside the allowable limits (Min = 335, Max = 430)"
132,11269,Non-Gola-W1TL PO,"Error in zone : 9_132_11269_Non-Gola-W1TL PO for module [Non-Gola Wall Cabinet 1 Shutter Top Lift Up Push To Open,11269] : Insufficient accessories. Minimum required: 1 got 0"
139,11535,Gola-W1TL-430D,"Error in zone : 10_139_11535_Gola-W1TL-430D for module [Gola Wall Cabinet 1 Shutter Top Lift Up,11535] : Insufficient accessories. Minimum required: 1 got 0"
104,10922,Gola-BBCG1S-Right-150,"Please refresh to fetch price from server."
105,10924,Gola-BBCG1S-Left-150,"Please refresh to fetch price from server."
106,10925,Gola-G1S-150,"Please refresh to fetch price from server."
107,10931,Gola-G2S-150,"Please refresh to fetch price from server."
121,11204,WBC-Left-PO,"Please refresh to fetch price from server."
122,11205,WBC-Right-PO,"Please refresh to fetch price from server."
123,11218,Gola-W1S-430D,"Please refresh to fetch price from server."
124,11219,Gola-W2S-430D,"Please refresh to fetch price from server."
115,11132,T2S1FS,"Please refresh to fetch price from server."
116,11139,BEP With Stone Counter Top,"Please refresh to fetch price from server."
117,11148,T1BDR1TSTWO,"Please refresh to fetch price from server."
118,11149,T1TDR1TSBWO,"Please refresh to fetch price from server."
119,11150,T2BDR1TSTWO,"Please refresh to fetch price from server."
120,11151,T2TDR1TSBWO,"Please refresh to fetch price from server."
125,11246,BEP For Tall Modules,"Please refresh to fetch price from server."
126,11248,T1S1FS-Utility,"Please refresh to fetch price from server."
127,11258,CTP,"Please refresh to fetch price from server."
128,11259,KBSF-Non Gola-Left,"Please refresh to fetch price from server."
197,12015,GP-H3DR,"Selected Height is 600, Which is outside the allowable limits (Min = 650, Max = 750)"
197,12015,GP-H3DR,"Error in zone : 5_197_12015_GP-H3DR for module [G Profile-Hob Cabinet 3 Drawer,12015] : Insufficient accessories. Minimum required: 3 got 1"
193,12011,GP-B1DR,"Please refresh to fetch price from server."
