s.no,moduleId,moduleName,errorMessage
89,13178,KTF-DC,"Selected Depth is 18, Which is outside the allowable limits (Min = 300, Max = 620)"
66,13225,KTU-EP-DC,"Selected Width is 18, Which is outside the allowable limits (Min = 300, Max = 750)"
67,13225,KTU-EP-DC,"Selected Width is 18, Which is outside the allowable limits (Min = 300, Max = 750)"
68,13761,LF&S-1S-DC,"Selected Depth is 80, Which is outside the allowable limits (Min = 100, Max = 100)"
69,13759,LF&S-2S-DC,"Selected Depth is 80, Which is outside the allowable limits (Min = 100, Max = 100)"
81,13521,KIT-BEP-BSL-DC,"Selected Width is 18, Which is outside the allowable limits (Min = 200, Max = 750)"
82,13521,KIT-BEP-BSL-DC,"Selected Width is 18, Which is outside the allowable limits (Min = 200, Max = 750)"
38,13295,BEP-Bottom End Panel-DC,"Selected Depth is 18, Which is outside the allowable limits (Min = 100, Max = 600)"
39,13295,BEP-Bottom End Panel-DC,"Selected Depth is 18, Which is outside the allowable limits (Min = 100, Max = 600)"
40,13295,BEP-Bottom End Panel-DC,"Selected Depth is 18, Which is outside the allowable limits (Min = 100, Max = 600)"
41,13295,BEP-Bottom End Panel-DC,"Selected Depth is 18, Which is outside the allowable limits (Min = 100, Max = 600)"
12,14191,S1DR-430D-DC,"Selected Width is 1200, Which is outside the allowable limits (Min = 400, Max = 900)"
58,14146,VFB-DC,"Selected Depth is 18, Which is outside the allowable limits (Min = 330, Max = 560)"
59,14146,VFB-DC,"Selected Depth is 18, Which is outside the allowable limits (Min = 330, Max = 560)"
28,13720,S1S-NBB-v1-DC,"Selected Width is 450, Which is outside the allowable limits (Min = 500, Max = 600)"
95,13522,KIT-WEP-BSL-DC,"Selected Width is 18, Which is outside the allowable limits (Min = 150, Max = 600)"
90,13178,KTF-DC,"Selected Depth is 18, Which is outside the allowable limits (Min = 300, Max = 620)"
100,14004,OPBKSHF&3DRHIDSHF-600W-DC,"Selected Depth is 200, Which is outside the allowable limits (Min = 430, Max = 430)"
86,13765,LSF-DC,"Selected Depth is 450, Which is outside the allowable limits (Min = 18, Max = 18)"
87,13113,T1S-DC,"Selected Width is 400, Which is outside the allowable limits (Min = 450, Max = 600)"
18,13540,B2DR-NBB-DC,"Error in zone : 5_18_13540_B2DR-NBB-DC for module [Semi Modular Base 2 Drawer- No Bottom No Back,13540] : Insufficient accessories. Minimum required: 2 got 0"
19,13540,B2DR-NBB-DC,"Error in zone : 6_19_13540_B2DR-NBB-DC for module [Semi Modular Base 2 Drawer- No Bottom No Back,13540] : Insufficient accessories. Minimum required: 2 got 0"
22,13540,B2DR-NBB-DC,"Error in zone : 9_22_13540_B2DR-NBB-DC for module [Semi Modular Base 2 Drawer- No Bottom No Back,13540] : Insufficient accessories. Minimum required: 2 got 0"
23,13540,B2DR-NBB-DC,"Error in zone : 10_23_13540_B2DR-NBB-DC for module [Semi Modular Base 2 Drawer- No Bottom No Back,13540] : Insufficient accessories. Minimum required: 2 got 0"
