s.no,moduleId,moduleName,errorMessage
13,14337,T2SOPBR,"Core material Birch Ply/Frosty White/0mm thickness not found, Check Bottle Holder Fixed Shelf 1 panel),"
15,14339,WMTV4FD,"Error in zone : 5_15_14339_WMTV4FD for module [Other Module Wall TV 4 Flap down,14339] : Insufficient accessories. Minimum required: 1 got 0"
11,14335,ST1DR1DRSDRRI,"Please refresh to fetch price from server."
12,14336,TLCROPSHF,"Please refresh to fetch price from server."
12,14336,TLCROPSHF,"Please refresh to fetch price from server."
12,14336,TLCROPSHF,"Please refresh to fetch price from server."
13,14337,T2SOPBR,"Please refresh to fetch price from server."
14,14338,B2TDR,"Please refresh to fetch price from server."
1,14332,PTHS,"Please refresh to fetch price from server."
2,14333,PTHS-QD,"Please refresh to fetch price from server."
3,14331,WSHF,"Please refresh to fetch price from server."
5,14340,TVB3S,"Please refresh to fetch price from server."
6,14341,B3DR-430D,"Please refresh to fetch price from server."
6,14341,B3DR-430D,"Please refresh to fetch price from server."
7,14343,B3DR-430D-QD,"Please refresh to fetch price from server."
7,14343,B3DR-430D-QD,"Please refresh to fetch price from server."
8,14342,GP-B3DR-430D,"Please refresh to fetch price from server."
8,14342,GP-B3DR-430D,"Please refresh to fetch price from server."
9,14344,B3DR-560D,"Please refresh to fetch price from server."
9,14344,B3DR-560D,"Please refresh to fetch price from server."
10,14345,B3DR-560D-QD,"Please refresh to fetch price from server."
10,14345,B3DR-560D-QD,"Please refresh to fetch price from server."
